name,phone,address,website,rating,user_ratings_total
"Zirve Gayrimenkul","0507 265 71 79","Eğitim, Zirve Sk., Yıldırım","",1,1
"Orhan emlak","0534 680 74 32","yeşildere mahallesi, naci çerezci caddesi no:1","","",""
"KAYA İNŞAAT, EMLAK, BRİKET, KUM, ÇİMENTO, DEMIR","0534 222 29 68","Hacar mahallesi, mustafa kemal, Atatürk bulvarı no 246, Oğuzeli","",5,1
"ÇAĞRI EMLAK","0545 434 41 59","Subaşı, Mustafa Kemal Blv. NO:17C, Oğuzeli","","",""
"utku İnşaat gayrımenkul","0537 432 24 68","Bulduk, Halk Meydanı No:8/C, Oğuzeli","","",""
"Oğuzeli Ordu Emlak-Otomotiv","0541 961 02 55","Subaşı, Mustafa Kemal Blv., Oğuzeli","","",""
"Çelikkanat Emlak","","Gürsu, Oğuzeli","","",""
"Çalikuşu Emlak","0553 473 48 18","Fırat, Kubilay Cd., Nizip","",5,20
"Sultan emlak","0551 242 18 08","Fatih Sultan, Aykut Sk. No:2, Nizip","",5,3
"UÇAROĞLU EMLAK & GAYRİMENKUL OFİSİ","0507 838 03 96","Cumhuriyet, Telgraf Sk. No:4/B, Nizip","",5,1
"Çavuş Emlak","0532 571 10 25","Mimar Sinan, Çardak Sk., Nizip","",5,1
"VATAN GAYRİMENKUL","0536 600 63 55","Mimar Sinan, Çardak Sk., Nizip","",4.7,15
"Miren Sigorta & Emlak","0542 807 39 56","Tapu Müdürlüğü Yanı, Fevzi Paşa, Dişçi Sk. No:31, Nizip","",5,619
"Konak Emlak","(0342) 518 42 88","Fatih Sultan, Nizip","",5,1
"Zengin Emlak","","Atatürk, Prof. Cahit Tanyol Cd., Nizip","",4.9,9
"Cevdet Emlak","","Mimar Sinan, Nizip","",5,1
"YUVAM EMLAK GAYRİMENKUL","0537 782 41 51","Mimar Sinan, Bayraktar Sk., Nizip","",5,2
"Canpolat emlak","0545 579 55 50","Mevlana, Kanuni Sultan Süleyman Bulvari No:100, Nizip","",4.7,13
"Demiroğlu Emlak Otomotiv","0543 487 03 37","Sultan Abdülhamit, Mustafa Kökmen Bulvari No:114, Nizip","",5,1
"Öz Çerkez Emlak","0542 772 91 64","Mimar Sinan, Manolya Sk. No:9, Nizip","",5,1
"Vizyon Emlak","0543 608 52 78","Mevlana, Bölükbaşı Sk. 34 A, Nizip","",5,1
"Emlak Ailesi","(0342) 518 37 47","Sultan Abdulhamit Mahallesi Habeş Efendi Caddesi No:70/A, Nizip","",2.5,2
"Kutan Emlak Gayrimenkul","0535 631 75 87","Mimar Sinan, Süzer Sk. No:5, Nizip","",4.4,22
"Kemal Taydaş gayrimenkul & nizipgezgini","0543 583 64 47","Şok Market Bitişiği, Mimar Sinan, Alper Sk. no:1, Nizip","https://www.instagram.com/kemaltaydasgayrimenkul/",5,13
"TAYDAŞ GAYRİMENKUL & OTOMOTİV","0545 576 33 49","Mevlana mahallesi, Belkıs Cd. no : 111, Nizip","",5,26
"Ayaz Emlak Ofisi","","Mimar Sinan, 25001. Sk, Nizip","",5,1
"Ahmet Polat","","Mimar Sinan, Endülüs Sk. No:3, Nizip","",5,1
"ÇAPAN EMLAK","0533 774 49 07","SULTN, Sultan Abdülhamit, Şimşek Sk, Nizip","",3.2,6
"KARDEŞLER ELEKTRİK & AVİZE VE AYDINLATMA NİZİP","0541 607 85 69","Mimar Sinan, Belkıs Cd. No:57/A, Nizip","",5,2
"Mahmut Yavuz","0532 732 56 68","Fatih Sultan, Karkamış Cd. 9/A, Nizip","https://www.facebook.com/profile.php?id=100007106074511",3.9,14
"Yilmaz İnşaat Ve Emlak Ofisi","","Atatürk, Fatih Sultan Mehmet Blv No:53, Nizip","","",""
"Sude Emlak Bürosu","0535 729 90 50","Fatih Sultan, Nizip","","",""
"Dünya Emlak & Auto","0543 899 13 65","Dünya Gayrimenkul, Mimar Sinan, şehit Emre Bakırcı sokak no 16A, Nizip","",4.7,15
"Mersavi Gayrimenkul","","Belkıs, Belkıs Sk. No:28, Nizip","",5,2
"Uzman Emlak","","Mimar Sinan, 25001. Sk, Nizip","",5,2
"Uğur Emlak Gayrimenkul","","Eyüp Sultan, Osmangazi Sk., Nizip","",5,1
"Milan Gayrimenkul ve Temizlik","0552 940 99 95","Eyüp Sultan, Saraybosna Sk. no:3, Nizip","",5,5
"MG Ünal Harita Mühendisliği ve Emlak Ofisi","0505 650 32 51","Mimar Sinan, Belkıs Cd. 110/D, Nizip","http://www.mgunalemlak.com/","",""
"Çalişkan Inşaat & Emlak","","Fatih Sultan, Hastane Cd. No:30, Nizip","",5,1
