name,phone,address,website,rating,user_ratings_total
"Bursa Çınar Emlak Gayrimenkul","0535 933 16 04","Değirmenönü, Şehitler Cd. no: 111, Yıldırım","http://bursacinargayrimenkul.tr.gg/",4,4
"İNEGÖL İREM EMLAK","0535 841 59 05","152 Evler, Ara Sk., Yıldırım","",5,1
"Şahane Yapı Dekorasyon Emlak","0542 663 29 49","Ortabağlar, Prof. Tezok Cd. No:30/2, Yıldırım","","",""
"YK YUSFELİ İNŞAAT GAYRİMENKUL","0532 177 29 08","KAZIM KARABEKİR MAH YUNUSEMRE BULVARI TERAS 2 EVLERİ A BLOK 21 D, Yıldırım","",4.3,3
"Teleferik İnşaat Emlak Müşavirliği","0505 270 11 10","Piremir, Teleferik Cd. No:68 D:B, Yıldırım","",3.3,3
"Burak Yapi Emlak","","Esenevler, Yıldırım","",5,1
"Ikbal Emlak","","Duaçınarı, Yıldırım","",4.5,2
"ADN GRUP EMLAK","0543 226 92 26","Yiğitler, F108 Sk. No:13, Yıldırım","https://adngrupemlak.sahibinden.com/",5,2
"Nehir Emlak","0533 216 61 47","75. Yıl, Ali Yazıcı Cad, Yıldırım","https://nehiremlakbursa.sahibinden.com/",5,1
"Yavuz emlak","0533 403 90 16","Beyazıt, Taraklı Sk. No:7A, Yıldırım","",5,8
"KAÇMAZ EMLAK YILDIRIM","0535 782 49 47","Bağlaraltı, 2. Cd. 24/A, Yıldırım","https://www.kacmazemlak.com/login/temsilci2.php?sessid=b3fnfkivk2cqcn7h65ht028hb3",5,1
"Kardeşler Emlak İnşaat","0532 630 52 16","75.Yıl Mah., Kaplangazi Cad. 84/A, Yıldırım","",5,1
"Lider Grup Gayrimenkul","0533 665 46 16","Sinandede, Volkan Cd. No:25, Yıldırım","https://www.lidergrupgayrimenkul.com/",4.5,61
"Rodoplu Emlak","0533 816 70 59","Anadolu Mah. Karlıdağ Cad 2, 2. Cenk Sk. No:32, Yıldırım","",5,1
"ŞEVKET EMLAK & GAYRİMENKUL A.Ş","0532 605 44 55","Beyazıt, Taraklı Sk. NO:17 KAT:4 D:7, Yıldırım","","",""
"Öz Temel Emlak","","Değirmenönü, 3. Sönmez Sk. No:42, Yıldırım","",5,1
"Yükseler Emlak","","Beyazıt, Taraklı Sk. No:11, Yıldırım","",5,1
"Vahid Emlak","0532 325 55 35","Hacivat, 1. Sanayi Cd. 39/A, Yıldırım","",5,1
"gedikli gayrimenkul","0541 951 61 61","Millet, Derya Cd. no:62/b, Yıldırım","http://gedikligyarimenkul.sahibinden.com/",5,6
"AKAN EMLAK GAYRİMENKUL DANIŞMANLIĞI","0539 861 61 67","BURSA ÖMER AKAN","",5,3
"Çiçek Emlak","0533 201 09 82","Esenevler, Erikli Cd. no:99 / A, Yıldırım","","",""
"Emlak Biz Bursa","(0224) 452 03 33","Yiğitler, C5 Sk. No:412, Yıldırım","",5,1
"Yıldız Emlak","(0224) 367 29 69","60 Z1, Ertuğrulgazi, Selçuk Bey Cd., Yıldırım","","",""
"Nilüfer Gayrimenkul | Nilüfer Emlak | Nilüfer Kiralık ve Satılık Daire","0536 582 57 97","Konak Mahallesi, Beşevler Caddesi, Başer Apt, No:93 Kat:1, Nilüfe","http://bursagayrimenkulemlak.com/",5,128
"SAĞ EMLAK GAYRİMENKÜL DANIŞMANLIK HİZMETLERİ","0541 210 16 60","Bağlarbaşı 2. Güzel Sokak no4A, Osmangazi̇","https://sagemlak.sahibinden.com/",4.9,47
"ÖZCAN ÇİFTCİ GAYRİMENKUL NİLÜFER VE MUDANYA PROFESYONEL EMLAKCI","0532 632 16 37","Üçevler, Bayraktepe Sk. No:2 OFİS 11, Ni̇lüfer","https://ozcanciftcigayrimenkul.sahibinden.com/",5,23
"Sinerji Nilüfer Gayrimenkul","","Konak, Ay Sk. No:25, Ni̇lüfer","",5,18
"Recep Ortaç Gayrimenkul","0544 484 16 16","Akpınar, 3. Çamlıca Sk. No:2, Osmangazi̇","",4.9,124
"Ihsaniye Real Estate Office","(0224) 245 84 90","İhsaniye, İsmetiye Cd No:10, Ni̇lüfer","",4.9,9
"ARSLAN POLAT GAYRİMENKUL / EMLAK / Bursa / Nilüfer / Nurettin POLAT","0542 245 54 45","AKARE OFİS, Odunluk, İbrahim İşsevenler Cd. NO:12 K:3 D:23, Ni̇lüfer","http://www.arslanpolatgayrimenkul.com.tr/",4.9,54
"Volkan Büyükdağ Gayrimenkul","0532 065 28 65","Hamitler Gür Caddesi 1, Kumlu Sk. No:1/A 16160, Osmangazi̇","",4.9,73
"SÜMBÜLOĞLU GAYRİMENKUL","0545 383 63 63","Yunuseli, Recep Tayyip Erdoğan Blv 19/ B B blok, Osmangazi̇","https://sumbuloglugayrimenkul.sahibinden.com/",4.8,29
"PENA Emlak Yatırım Ofisi","","Konak, Yüksel Sk. 2a, Ni̇lüfer","",5,2
"FAVORİ GAYRİMENKUL BURSA","0532 570 92 19","OTAĞKUR APARTMANI, Esentepe, Tuna Cd. No:82/B, Ni̇lüfer","http://www.favorigayrimenkulbursa.sahibinden.com/",5,146
"Melis Emlak Ofisi","(0224) 245 23 23","MELİS EMLAK MELİS EMLAK, iHSANİYE MAHALLESİ. Kanuni Cad./lefkoşe Sok. Manolya Siteleri A1 Blok No:31/A MANOLYA SİTELERİ A1 BLOK NO.31/A, Ni̇lüfer","https://melisemlak.sahibinden.com/",5,2
"Ümit Kesmez | Gayrimenkul ve Yatırım Danışmanı","0532 650 26 26","Office 4200 iş merkezi, Balat, Sıhhiye Cd, Ni̇lüfer","",5,52
"Dijitalemlak - e-emlak bursa TTBS ve MYK belgeli.","","Konak, Beşevler Cd. 82 / D, Ni̇lüfer","https://www.dijitalemlak.com/",4.6,26
"KAYALAR GAYRİMENKUL YATIRIM OFİSİ","0507 237 96 80","Yunuseli, Çamlık Cd. No:76/b, Osmangazi̇","",4.9,66
"Hamitler Emlak Gayrimenkul Danışmanlık Hizmetleri","0541 241 70 70","Hamitler, Hamidiye Cd. No:20, Osmangazi̇","",5,4
"Has Emlak","0546 452 36 36","Beşevler mh beşevler cd, Beşevler, Atam Sk. 2/A, Ni̇lüfer","http://www.hasemlakofisi.com/",4.9,62
"Redworld Gayrimenkul","0546 130 16 16","Fethiye, Fazıl Sk. Kat 1 Daire 3, Ni̇lüfer","",4.8,58
"Lider Emlak","(0224) 452 10 24","Cumhuriyet, Nilüfer Hatun Cd. Atalay 3 Sites No:6-d, Ni̇lüfer","http://www.lidergayrimenkul.com/",4.2,34
"Referans Safir Gayrimenkul","(0224) 443 15 50","Üçevler Mahallesi, Aysel Sk. No:4 D:13-14, Ni̇lüfer","",4.9,61
"NİLÜFER EMLAK OFİSİ","0532 700 12 17","Konak mahallesi yaz sokak no=17/A Beşevler, Konak, Yaz Sk. 17/A, Ni̇lüfer","",4.7,12
"Mızrak Emlak","(0224) 245 99 10","İstiklal, 4. Zafer Sk. No:17/A, Osmangazi̇","http://www.mizrakemlak.com/",4.5,39
"KADİR ORTAÇ GAYRİMENKUL","0552 412 06 88","Bağlarbaşı, 1. Hürriyet Cd. No:1 90 İç kapı : 3, Osmangazi̇","",5,27
"Yeşilkent U.Emlak Ofisi","0532 256 73 55","Konak, Yavuz Sk. No:46, Ni̇lüfer","",5,1
"ODAK GAYRİMENKUL","(0224) 236 50 50","Balat Mah. Faruk Baykal Cd. Balat Neu Plaza B Blok No:2B, D:F, Ni̇lüfer","http://www.ofisodak.com.tr/",5,11
"AFACAN GAYRİMENKUL","0542 301 45 46","Cumhuriyet, Anıt Sk. No:17, Ni̇lüfer","",4.2,39
"İNCE GAYRİMENKUL","0532 490 16 07","Konak, Konak Cd. No:94, Ni̇lüfer","https://incegayrimenkulbursa.sahibinden.com/",4.9,28
"Bursadabul","(0224) 322 03 23","Konak, Merkez Sk. No:25/A, Ni̇lüfer","http://www.bursadabul.com/",4.8,13
"Çağdaş Emlak","","İhsaniye, Er Sk. Dilek Sitesi A Blok No:1, Ni̇lüfer","",3.9,7
"GayrimenkuluM","0530 060 06 44","Fethiye, Rusçuklu Sk. No:29/1, Ni̇lüfer","",5,12
"ÖZGÜR ÇAKMAK GAYRİMENKUL PROJE DANIŞMANLIĞI | KORUPARK OFİSİ |","(0224) 241 90 10","Mh, Emek Adnan Menderes, Armağan Sk 1A, Osmangazi̇","https://www.ozgurcakmakgayrimenkul.com.tr/",5,13
"Dialog İdeal Gayrimenkul","0532 629 77 16","23 Nisan, Köroğlu Cd. 251. Sok No:10C / 14, Ni̇lüfer","https://www.dialogturkiye.com/",5,13
"Hakan Durmuş HD EMLAK Gayrimenkul Yönetim Hizmetleri","0544 250 44 44","Beşevler, Bilginler Cd. No;30-B, Ni̇lüfer","http://www.hdemlak.com.tr/",4.4,34
"Emlak Vagonu Beşevler Şubesi","(0224) 443 37 87","Beşevler Mah. Bilginler Cad.Güllühan Sok. No:2 Zemin kat, Ni̇lüfer","http://www.emlakvagonu.com/",4.9,9
"ELFİ Gayrimenkul Bursa","(0224) 441 40 06","23 Nisan Mahallesi Köroğlu Caddesi, Beydağ Park Sitesi 1A-A, Ni̇lüfer","https://www.elfigayrimenkul.com.tr/",4.7,358
"KRİSTAL FOCAL GAYRİMENKUL","0552 450 74 20","Konak mahallesi Lefkoşe caddesi bilgi plaza, Konak, 4 iç kapı no 4 no 14 kat, Ni̇lüfer","http://www.focalgayrimenkul.com/",4.9,46
"Demir Emlak Ofisi","","Yunuseli, Alparslan Türkeş Caddesi No:65/B, Osmangazi̇","",5,3
"Defnem Emlak","(0224) 453 06 83","No:, Beşevler, Yıldırım Cd. No:254, Ni̇lüfer","",5,2
"Selen Emlak","(0224) 452 93 01","Beşevler, Bilginler Cd. No:18, Ni̇lüfer","https://selenemlak.sahibinden.com/",5,1
"Çelik Emlak Dünyası","0555 176 25 54","Barış Mah. Fuzuli cad, Sevil Sk. No:3","",5,3
"Real Emlak Bursa Ofisleri","0544 449 14 90","Dikkaldırım, 3. Afacan Sk., Osmangazi̇","https://realemlakbursa.sahibinden.com/",4,10
"AL OĞLU İNŞAAT EMLAK","0536 486 36 92","Hüdavendigar, Dikkaldırım Cd. No:45, Osmangazi̇","",5,1
"Geçit Emlak","0532 057 63 80","Geçit, 1. Gürbüz Sk. No:69, Osmangazi/Osmangazi̇","http://gecitemlak.com/",5,1
"As Emlak","(0224) 247 05 19","No:44,Bağlarbaşı,16160 Osmangazi/Bursa,Türkiye, Bağlarbaşı, Mümin Gençoğlu Cd., Osmangazi̇","",4.1,20
"EKSPER Bursa Emlak Gayrimenkul Ofisi","0543 838 16 32","Beşevler, Bilginler Cd. Yeşilkent Sitesi 28/H A Blok, Ni̇lüfer","",2.8,11
"Salkim Emlak","0532 410 01 44","İhsaniye, Genç Sk. AKSEL 106 APT NO:2/A, Ni̇lüfer","http://wwwsalkımemlak.com/",4,8
"Altıntaş Emlak","0533 733 19 43","Bağlarbaşı Mh, 3. Burçak Sk. No.14/B, Osmangazi̇","",3.5,2
"Sekerler Emlak","(0224) 453 12 85","Konak, Bilginler Cd. 33 F, Ni̇lüfer","",4.7,15
"Bursa Gayrimenkul | Bursa'nın Emlak Alım Satım Uzmanı | 26 Yıllık Tecrübe ile Hızlı Sonuç","0546 898 94 89","Konak, Konak Cd. No: 95, Ni̇lüfer","http://www.bursagayrimenkul.com/",4.8,16
"Ata Emlak","0544 307 94 94","Odunluk, Kavram Sk., Ni̇lüfer","",4.3,3
"Şen Emlakgayrimenkul.mustafa şen","0538 028 37 28","Adnan Menderes Mahallesi, Yılmaz Akkılıç Cd. No:35, Osmangazi̇","http://www.senemlak.com.tr/",5,1
"1050 Emlak","(0224) 243 86 50","Akpınar Mah. Hancı Cad. Hayırlıoğlu Pasajı No:20","",4.1,11
"Güneşler Emlak","0533 466 61 13","Yunuseli, Fuat Kuşçuoğlu Caddesi. 790. Sok No:21, Osmangazi/Osmangazi̇","",3,3
"Emlak Vagonu İhsaniye Temsilciliği","(0224) 245 88 18","İhsaniye Mah. Barbaros Cad. Eserkent Sit, No:10/A A blok, Ni̇lüfer","http://www.emlakvagonu.com/",4.7,12
"Uygar Emlak","0532 236 55 61","ilgün apartmanı, İhsaniye, Cami Sk. D:no 26, Ni̇lüfer","",4.2,5
"RE/MAX BEYAZ BURSA","(0224) 249 16 16","LOTUS OFFICE, Konak, İzmir Yolu Cd A BLK NO 96, Ni̇lüfer","https://www.remaxbeyaz.com/",4.4,46
"Yazgılı Emlak","(0224) 245 56 11","İhsaniye, Tuna Cd. No:63, Nilüfer/Ni̇lüfer","http://yazgiliemlak.com/",3.4,5
