name,phone,address,website,rating,user_ratings_total
"TURUNCU GAYRİMENKUL EMLAK VE ARSA OFİSİ","0553 792 47 78","Medya Mahallesi 635.Sokak Bulut Renovia, Sitesi Altı, Kayapınar","","",""
"AHMET OĞULLARI EMLAK & ARSA OFİSİ","0543 945 65 21","Talaytepe, küme evleri 113/1, Kayapınar","",5,2
"Adar emlak ve arsa ofisi","","Peyas, Kayapınar Caddesi, Kayapınar","",5,1
"geylani Emlak & Arsa Ofisi","","Fırat, Kayapınar","",3.5,2
"Çelik Emlak & Arsa Ofisi","0532 624 50 62","50/E, Fırat Mah. Mezopotamya Cad. Mer Sitesi A/2 Blok Altı, Kayapınar","",5,8
"MUON GAYRİMENKUL","0506 097 31 07","Medya, Kayapınar","",5,1
"Ranya Emlak","0507 220 80 60","MEDYA MAH. TEKEL CAD. SOLİN LİFE B-BLOK NO: 29BA, Kayapınar","",5,1
"Delil Şinda Emlak & Arsa Ofisi","","Bağcılar, Bağlar","",2.3,3
"Sebat Emlak Gayrimenkul & Arsa Ofisi","","Wins Town Avm, 4000/3 Sokak, karşısı Zilan Sitesi altı, Kayapınar","",5,1
"Enes Emlak & Arsa Ofisi","0533 237 90 35","Medya, 190. Sk. no 4/a, Kayapınar","","",""
"Şirinler Gayrimenkul ofisi","0533 300 11 62","Kooperatifler mahallesi, rızvanaga caddesi özemek apt. B blok Dış kapı:35/B, Yenişehir","",5,1
"Omeria Gayrimenkul","0541 336 90 94","Kooperatifler, Kurt İsmail Paşa 7. Sk., Yenişehir","",5,7
"ME-NAR GAYRİMENKUL 2","0542 742 43 21","Mezopotamya, Şeyh Şamil, 608. Sk. no 6 E, Kayapınar","http://menargayrimenkul.com/",5,1
"BAŞKANOĞLU EMLAK & GAYRİMENKUL","0532 120 13 47","Çarıklı mah, Yeni Mardin Yolu Cd. 66 a, Sur","https://baskanemlakdiyarbakir.sahibinden.com/",5,1
"Doğu Emlak","0850 550 3648","Yenişehir, Prof. Dr. Selahattin Yazıcıoğlu Cad Oryıl My Office B Blok Kat:2 No:7, Yenişehir","https://www.doguemlak.com/","",""
"HÜSEYİNOĞLU Gayrimenkul","0542 143 08 21","Bayındırlık caddesi Selahattin Eyyübi mahallesi Şenel-7 APRT NO:11K, Bağlar","https://z-p15.www.instagram.com/huseyinoglu.gayrimenkul_/","",""
"Yıldız 21 İnşaat Gıda Asansör Oto Emlak San Tic Ltd Şti","(0412) 251 02 14","Peyas Mah Diclekent Bul Bahçelievler Yapı Koop No : 19/a","","",""
"Diyarbakir Emlak Komisyonculari ve Musavirleri Dernegi","(0412) 237 77 06","kafka kitap evi ustu, Urfa yolu uzeri, Servet Apt No:2, Kayapınar","",3.5,2
"Dayza Emlak","0535 442 12 42","Talaytepe mahallesi, 4005 / 2 sokak, Kayapınar","","",""
"Diyar Life İnşaat Emlak","0536 272 42 67","Diclekent bulvari 96. Sokak oz huseyin oglu sitesi alti A blok, Kayapınar","","",""
"Hünkar Emlak","(0412) 229 52 99","Kooperatifler, Gevran Cd., Yenişehir","http://hunkaremlak21.sahibinden.com/","",""
"Bayar GAYRİMENKUL","0553 557 91 36","Peyas, 206. Sk. No:16, Kayapınar","","",""
"MED 21 GAYRİMENKUL VE DANIŞMANLIK HİZMETLERİ","0532 488 50 68","SEYRANTEPE ÇEYSA TWİN TOWERS, Yenişehir","","",""
"Bakioglu Emlak Burosu","","Kaynartepe, 290. Sk. No:6 A BLOK, Bağlar","","",""
"Güler Emlak Ve Inşaat","","Şehitlik, Yenişehir","","",""
"Hocam Emlak & Arsa Ofisi","","5 Nisan, Bağlar","","",""
"Diyarkent Emlak","(0412) 223 88 13","Kooperatifler mah Bahar sokak Aksu apt.altı, no:18/C, Yenişehir","https://diyarkentemlak.sahibinden.com/",3.1,9
"KALE GAYRİMENKUL","(0412) 213 46 74","Şeyh Şamil, Urfa Yolu Üzeri Azel Prime Center Kat 4 No 51, Bağlar","","",""
"Dayi Emlak","","Kaynartepe, 258. Sk. No:76, Bağlar","",5,1
"SİDE EMLAK","(0412) 257 31 32","h.evleri d.kent bul agit ap altı 102 c, Kayapınar","",5,3
"Ofis Emlak","","Kooperatifler, Rızvan Ağa Cd. No:23, Yenişehir","https://mcyofisemlak.sahibinden.com/",2.5,8
"POZİTİF EMLAK","","Bağcılar, 1067. Sk. No:11, Bağlar","",3,2
"Cemiloğlu Emlak","","Yenişehir, İşçi Bulma Kurumu Sk. No:4, Yenişehir","",1,2
"Mutlu Emlak","","Selahattin Eyyubi, Bayındırlık Cd. NO: 16, Bağlar","",2.3,3
"Aşiti Emlak","","Kooperatifler, Huzurevleri, Diclekent Blv. No:48, Kayapınar","https://www.tikla.com.tr/asiti-emlak-diyarbakir.html",1,1
"Öz çınar emlak","","Şehitlik, 71. Sk., Yenişehir","",5,1
"İşik Emlak","","Selahattin Eyyubi, Aydın Arslan Blv NO: 36, Bağlar","",2,1
"Kaçmaz Emlak","","Kooperatifler, Kurt İsmail Paşa 6. Sk., Yenişehir","https://www.kacmazemlak.com/",3,2
"Hebun Emlak Bürosu","","Mevlana Halit, Bağlar","","",""
"Ay Emlak","","Kaynartepe, Bağlar","",1,2
"Bahçe Emlak & Otomotív","","Şehitlik, Sezai Karakoç Blv. No:23, Yenişehir","",1,1
"Bariş Emlak","","Şehitlik, Şehitlik Cd. No:19, Yenişehir","",1,1
"Zana Emlak & Arsa Ofisi","","Huzurevleri, 38. Sk. No:21, Kayapınar","","",""
"Havin Emlak Arsa Ofisi","","Huzurevleri, 23. Sk. No:58, Kayapınar","","",""
"Çaǧri 3 Emlak Bürosu","","Mevlana Halit, 394. Sk. No:9, Bağlar","","",""
"Nadir Emlak","","Huzurevleri, 96. Sk., Kayapınar","",2,1
"Elbey Gayrimunkul","0552 724 41 69","Alkan kardeşler, Huzurevleri, 23. Sk. apt altı, Kayapınar","","",""
"Ben Gayrimenkul danışmanlığı","","Yenişehir, İnaloğlu Cd No:7, Yenişehir","",5,1
"Ulu Group Kimdir","(0412) 503 70 29","Tanlar Prestij Ofisi İş Merkezi, Fırat, 552.Sokak No:12 A, Kayapınar","",5,1
"Narin Emlak","","Kaynartepe, 225. Sk., Bağlar","https://www.araba.com/uye/narin-emlak",1,1
"Başari Emlak & Arsa Ofisi","","5 Nisan, Yusuf İslam Cd. No:4, Bağlar","","",""
"Bulut Emlak Arsa Ofisi","","Mevlana Halit, Öğretmenler Cd., Bağlar","","",""
